Index,Subindex,Objectname,Datatype,Access,Defaultvalue,Variable,LowLimit,HighLimit,hasDefault,hasLimit,refuseRead,refuseWrite,defaultInEDS,ImplementationType,Size
0x203e,0x00,USER_I_v,UNSIGNED16,rw,0,USER_I_v,0,0,no,no,no,no,1,Variable,0
0x203f,0x00,Iq_16,INTEGER16,ro,0,Iq_16,0,0,no,no,no,no,0,Variable,0
0x2040,0x00,I2_adc,UNSIGNED16,ro,0,I2_adc,0,0,no,no,no,no,0,Variable,0
0x2041,0x00,IdUp_16,INTEGER16,ro,0,IdUp_16,0,0,no,no,no,no,0,Variable,0
0x2042,0x00,I2_ist,INTEGER16,ro,0,I2_ist,0,0,no,no,no,no,0,Variable,0
0x2043,0x00,Id_16,INTEGER16,ro,0,Id_16,0,0,no,no,no,no,0,Variable,0
0x2044,0x00,I3_ist,INTEGER16,ro,0,I3_ist,0,0,no,no,no,no,0,Variable,0
0x2045,0x00,I3_ist,INTEGER16,ro,0,I3_ist,0,0,no,no,no,no,0,Variable,0
0x2046,0x00,incr_delta,INTEGER16,ro,0,incr_delta,0,0,no,no,no,no,0,Variable,0
0x2047,0x00,Idmin_pc,INTEGER16,rw,0,Idmin_pc,0,0,no,no,no,no,1,Variable,0
0x2048,0x00,Idnom_pc,INTEGER16,rw,0,Idnom_pc,0,0,no,no,no,no,1,Variable,0
0x2049,0x00,USER_I_ramp,UNSIGNED16,rw,0,USER_I_ramp,0,0,no,no,no,no,1,Variable,0
0x204a,0x00,Idref_16,INTEGER16,rw,0,Idref_16,0,0,no,no,no,no,1,Variable,0
0x204b,0x00,USER_I_intmax,UNSIGNED16,rw,0,USER_I_intmax,0,0,no,no,no,no,1,Variable,0
0x204c,0x00,I_ist,INTEGER16,ro,0,I_ist,0,0,no,no,no,no,0,Variable,0
0x204d,0x00,I_ist_filt,INTEGER16,ro,0,I_ist_filt,0,0,no,no,no,no,0,Variable,0
0x204e,0x00,I_limit,INTEGER16,rw,0,I_limit,0,0,no,no,no,no,1,Variable,0
0x204f,0x00,CurrentAllowed_inuse,INTEGER16,ro,0,CurrentAllowed_inuse,0,0,no,no,no,no,0,Variable,0
0x2050,0x00,CurrentCommand_ramped,INTEGER16,ro,0,CurrentCommand_ramped,0,0,no,no,no,no,0,Variable,0
0x2051,0x00,CurrentAllowed_max,INTEGER16,rw,0,CurrentAllowed_max,0,0,no,no,no,no,1,Variable,0
0x2052,0x00,I_rd_N,UNSIGNED16,rw,0,I_rd_N,0,0,no,no,no,no,1,Variable,0
0x2053,0x00,I_rd_TD,UNSIGNED16,rw,0,I_rd_TD,0,0,no,no,no,no,1,Variable,0
0x2054,0x00,I_rd_TE,UNSIGNED16,rw,0,I_rd_TE,0,0,no,no,no,no,1,Variable,0
0x2055,0x00,I_rd_TM,UNSIGNED16,rw,0,I_rd_TM,0,0,no,no,no,no,1,Variable,0
0x2056,0x00,Iqref_16,INTEGER16,ro,0,Iqref_16,0,0,no,no,no,no,0,Variable,0
0x2057,0x00,CurrentCommand,INTEGER16,ro,0,CurrentCommand,0,0,no,no,no,no,0,Variable,0
0x2058,0x00,CurrentSetPoint,INTEGER16,rw,0,CurrentSetPoint,0,0,no,no,no,no,1,Variable,0
0x2059,0x00,It_Rg_Monitor,INTEGER32,ro,0,It_Rg_Monitor,0,0,no,no,no,no,0,Variable,0
0x205a,0x00,It_Monitor,INTEGER32,ro,0,It_Monitor,0,0,no,no,no,no,0,Variable,0
0x205b,0x00,kern_iist_200pc,UNSIGNED16,ro,0,kern_iist_200pc,0,0,no,no,no,no,0,Variable,0
0x205c,0x00,kern_version,INTEGER16,ro,0,kern_version,0,0,no,no,no,no,0,Variable,0
0x205d,0x00,KernOptions.all,UNSIGNED32,rw,0,KernOptions.all,0,0,no,no,no,no,1,Variable,0
0x205e,0x00,ErrorBitMap.all,UNSIGNED16,ro,0,ErrorBitMap.all,0,0,no,no,no,no,0,Variable,0
0x205f,0x00,LOGIC_hz,UNSIGNED16,ro,0,LOGIC_hz,0,0,no,no,no,no,0,Variable,0
0x2060,0x00,LogicReadBits.all,UNSIGNED16,ro,0,LogicReadBits.all,0,0,no,no,no,no,0,Variable,0
0x2061,0x00,I_BALLAST,INTEGER16,ro,0,I_BALLAST,0,0,no,no,no,no,0,Variable,0
0x2062,0x00,I_FAULT,INTEGER16,ro,0,I_FAULT,0,0,no,no,no,no,0,Variable,0
0x2063,0x00,I_FRG,INTEGER16,ro,0,I_FRG,0,0,no,no,no,no,0,Variable,0
0x2064,0x00,I_DIN1,INTEGER16,ro,0,I_DIN1,0,0,no,no,no,no,0,Variable,0
0x2065,0x00,I_DIN2,INTEGER16,ro,0,I_DIN2,0,0,no,no,no,no,0,Variable,0
0x2066,0x00,I_LMT1,INTEGER16,ro,0,I_LMT1,0,0,no,no,no,no,0,Variable,0
0x2067,0x00,I_LMT2,INTEGER16,ro,0,I_LMT2,0,0,no,no,no,no,0,Variable,0
0x2068,0x00,I_LOS,INTEGER16,ro,0,I_LOS,0,0,no,no,no,no,0,Variable,0
0x2069,0x00,VdcBus,UNSIGNED16,ro,0,VdcBus,0,0,no,no,no,no,0,Variable,0
0x206a,0x00,O_BTB,INTEGER16,ro,0,O_BTB,0,0,no,no,no,no,0,Variable,0
0x206b,0x00,O_GO,INTEGER16,ro,0,O_GO,0,0,no,no,no,no,0,Variable,0
0x206c,0x00,O_NOFAULT,INTEGER16,ro,0,O_NOFAULT,0,0,no,no,no,no,0,Variable,0
0x206d,0x00,O_DOU1,INTEGER16,ro,0,O_DOU1,0,0,no,no,no,no,0,Variable,0
0x206e,0x00,O_DOU2,INTEGER16,ro,0,O_DOU2,0,0,no,no,no,no,0,Variable,0
0x206f,0x00,O_DOU3,INTEGER16,ro,0,O_DOU3,0,0,no,no,no,no,0,Variable,0
0x2070,0x00,O_DOU4,INTEGER16,ro,0,O_DOU4,0,0,no,no,no,no,0,Variable,0
0x2071,0x00,VO_BRAKE,INTEGER16,ro,0,VO_BRAKE,0,0,no,no,no,no,0,Variable,0
0x2072,0x00,VO_Icns,INTEGER16,ro,0,VO_Icns,0,0,no,no,no,no,0,Variable,0
0x2073,0x00,VO_Less_N0,INTEGER16,ro,0,VO_Less_N0,0,0,no,no,no,no,0,Variable,0
0x2074,0x00,VO_TOLER,INTEGER16,ro,0,VO_TOLER,0,0,no,no,no,no,0,Variable,0
0x2075,0x00,lookup_temp,INTEGER16,ro,0,lookup_temp,0,0,no,no,no,no,0,Variable,0
0x2076,0x00,KernMode.all,UNSIGNED16,wo,0,KernMode.all,0,0,no,no,no,no,0,Variable,0
0x2077,0x00,MOTOR_Nom_F,UNSIGNED16,rw,0,MOTOR_Nom_F,0,0,no,no,no,no,1,Variable,0
0x2078,0x00,MOTOR_geber_incperrev,UNSIGNED16,rw,0,MOTOR_geber_incperrev,0,0,no,no,no,no,1,Variable,0
0x2079,0x00,GEBER_pole,INTEGER16,rw,0,GEBER_pole,0,0,no,no,no,no,1,Variable,0
0x207a,0x00,MOTOR_I_dauer,UNSIGNED16,rw,0,MOTOR_I_dauer,0,0,no,no,no,no,1,Variable,0
0x207b,0x00,MOTOR_I_max,UNSIGNED16,rw,0,MOTOR_I_max,0,0,no,no,no,no,1,Variable,0
0x207c,0x00,UserMotorOptions.all,UNSIGNED16,rw,0,UserMotorOptions.all,0,0,no,no,no,no,1,Variable,0
0x207d,0x00,MOTOR_pole,UNSIGNED16,rw,0,MOTOR_pole,0,0,no,no,no,no,1,Variable,0
0x207e,0x00,MOTOR_rpm_max,UNSIGNED16,rw,0,MOTOR_rpm_max,0,0,no,no,no,no,1,Variable,0
0x207f,0x00,Motor_Lsd,INTEGER32,rw,0,Motor_Lsd,0,0,no,no,no,no,1,Variable,0
0x2080,0x00,Motor_Lsq,INTEGER32,rw,0,Motor_Lsq,0,0,no,no,no,no,1,Variable,0
0x2081,0x00,Motor_Rr,INTEGER32,rw,0,Motor_Rr,0,0,no,no,no,no,1,Variable,0
0x2082,0x00,Motor_Lm,INTEGER32,rw,0,Motor_Lm,0,0,no,no,no,no,1,Variable,0
0x2083,0x00,Motor_Rs,INTEGER32,rw,0,Motor_Rs,0,0,no,no,no,no,1,Variable,0
0x2084,0x00,Motor_Tr,INTEGER32,rw,0,Motor_Tr,0,0,no,no,no,no,1,Variable,0
0x2085,0x00,Motor_Inertia,INTEGER16,rw,0,Motor_Inertia,0,0,no,no,no,no,1,Variable,0
0x2086,0x00,MotorTemp_Error,UNSIGNED16,rw,0,MotorTemp_Error,0,0,no,no,no,no,1,Variable,0
0x2087,0x00,MOTOR_Nom_V,UNSIGNED16,rw,0,MOTOR_Nom_V,0,0,no,no,no,no,1,Variable,0
0x2088,0x00,MPOS_mech,INTEGER16,ro,0,MPOS_mech,0,0,no,no,no,no,0,Variable,0
0x2089,0x00,MPOS_elec,INTEGER16,ro,0,MPOS_elec,0,0,no,no,no,no,0,Variable,0
0x208a,0x00,MPOS_angle_1V,UNSIGNED16,ro,0,MPOS_angle_1V,0,0,no,no,no,no,0,Variable,0
0x208b,0x00,MPOS_offset_elec,INTEGER16,rw,0,MPOS_offset_elec,0,0,no,no,no,no,1,Variable,0
0x208c,0x00,PositionErrorPID,INTEGER32,ro,0,PositionErrorPID,0,0,no,no,no,no,0,Variable,0
0x208d,0x00,USER_Statik,INTEGER16,rw,0,USER_Statik,0,0,no,no,no,no,1,Variable,0
0x208e,0x00,USER_POSI_td,INTEGER16,rw,0,USER_POSI_td,0,0,no,no,no,no,1,Variable,0
0x208f,0x00,USER_POSI_ti,INTEGER16,rw,0,USER_POSI_ti,0,0,no,no,no,no,1,Variable,0
0x2090,0x00,USER_POSI_v,INTEGER16,rw,0,USER_POSI_v,0,0,no,no,no,no,1,Variable,0
0x2091,0x00,USER_POSI_ky,INTEGER16,rw,0,USER_POSI_ky,0,0,no,no,no,no,1,Variable,0
0x2092,0x00,PositionActual,INTEGER32,ro,0,PositionActual,0,0,no,no,no,no,0,Variable,0
0x2093,0x00,PositionActual_Alter,INTEGER32,ro,0,PositionActual_Alter,0,0,no,no,no,no,0,Variable,0
0x2094,0x00,PositionCommand,INTEGER32,ro,0,PositionCommand,0,0,no,no,no,no,0,Variable,0
0x2095,0x00,PositionSetPoint,INTEGER32,rw,0,PositionSetPoint,0,0,no,no,no,no,1,Variable,0
0x2096,0x00,PositionDiff_Slack,INTEGER32,rw,0,PositionDiff_Slack,0,0,no,no,no,no,1,Variable,0
